municipality,zip_code,age,gender,state,municipality_type
Unknown,33912,58,F,FL,state
Unknown,28110,24,F,NC,state
City Of Melrose,33950,76,M,FL,municipal
Unknown,29072,15,F,SC,state
Unknown,29585,55,M,SC,state
Unknown,01757,44,F,MA,state
Unknown,14098,22,M,NY,state
Unknown,02738,40,F,MA,state
Unknown,34104,15,F,FL,state
Unknown,32162,62,F,FL,state
Unknown,32162,62,F,FL,state
Unknown,32162,62,F,FL,state
Unknown,29455,59,F,SC,state
Unknown,29486,61,M,SC,state
Unknown,53215,31,F,WI,state
Unknown,02152,68,M,MA,state
Unknown,02125,63,F,MA,state
Unknown,32814,10,F,FL,state
Town Of Weymouth,34997,63,M,FL,municipal
Unknown,01089,61,F,MA,state
Unknown,02360,58,M,MA,state
Unknown,32814,6,M,FL,state
Unknown,30045,62,F,GA,state
Unknown,31558,59,M,GA,state
Unknown,32129,62,M,FL,state
Unknown,01002,6,F,MA,state
Unknown,33955,62,M,FL,state
Unknown,34488,24,F,FL,state
Unknown,12477,63,F,NY,state
Pentucket Regional School Dist,85749,25,F,AZ,municipal
Unknown,34108,59,F,FL,state
City Of Springfield,34608,18,F,FL,municipal
City Of Springfield,34608,18,F,FL,municipal
City Of Lowell,80005,60,M,CO,municipal
Unknown,89052,75,F,NV,state
Unknown,33071,57,F,FL,state
Unknown,00777,64,M,PR,state
Unknown,34209,64,M,FL,state
Unknown,33914,24,F,FL,state
Unknown,32034,57,F,FL,state
Unknown,34112,62,F,FL,state
Unknown,34112,62,F,FL,state
Unknown,50309,21,F,IA,state
Unknown,55303,38,M,MN,state
Unknown,02364,14,F,MA,state
Unknown,34747,62,F,FL,state
Unknown,81520,56,F,CO,state
Unknown,91786,43,F,CA,state
Unknown,34655,74,F,FL,state
Unknown,33569,63,M,FL,state
Unknown,32311,4,M,FL,state
Unknown,19095,58,F,PA,state
Town Of Marblehead,59729,59,F,MT,municipal
Unknown,29928,64,F,SC,state
Unknown,29585,63,M,SC,state
Unknown,33774,80,F,FL,state
Unknown,60543,32,M,IL,state
Unknown,27519,46,F,NC,state
Unknown,34119,61,M,FL,state
Unknown,01833,61,M,MA,state
Unknown,83669,88,F,ID,state
Unknown,55419,50,F,MN,state
Unknown,34134,63,M,FL,state
Unknown,01940,63,M,MA,state
City Of Springfield,32164,59,M,FL,municipal
Unknown,11238,40,M,NY,state
Unknown,34652,59,F,FL,state
Unknown,85326,60,M,AZ,state
Unknown,32137,55,M,FL,state
Unknown,01373,59,M,MA,state
Unknown,34773,19,F,FL,state
Unknown,28374,16,M,NC,state
City Of Springfield,33040,24,F,FL,municipal
Unknown,33913,56,M,FL,state
Unknown,33484,61,F,FL,state
Unknown,34608,75,M,FL,state
Unknown,85119,52,M,AZ,state
Unknown,32796,47,F,FL,state
Unknown,30248,49,F,GA,state
Unknown,30062,74,F,GA,state
Unknown,02660,25,M,MA,state
Unknown,28306,63,F,NC,state
Unknown,31312,11,F,GA,state
Town Of Framingham,37327,56,M,TN,municipal
Unknown,34289,63,F,FL,state
